Date,Open,High,Low,Close,Volume,Adj Close
2004-12-31,199.23,199.88,192.56,192.79,7668500,192.79
2004-12-30,192.97,198.23,191.85,197.60,5904300,197.60
2004-12-29,191.78,193.52,191.78,192.90,2678100,192.90
2004-12-28,192.11,193.55,191.01,192.76,4145800,192.76
2004-12-27,189.15,193.30,189.10,191.91,6104100,191.91
2004-12-23,187.45,188.60,186.00,187.90,3614600,187.90
2004-12-22,183.90,186.85,183.01,186.30,3907000,186.30
2004-12-21,186.31,187.88,183.40,183.75,5516300,183.75
2004-12-20,182.00,188.46,181.87,185.02,9834500,185.02
2004-12-17,176.76,180.50,176.55,180.08,7386200,180.08
2004-12-16,176.95,180.49,175.95,176.47,8572800,176.47
2004-12-15,177.99,180.69,176.66,179.78,11471000,179.78
2004-12-14,171.00,178.82,169.60,178.69,11088400,178.69
2004-12-13,172.17,173.18,169.45,170.45,4818600,170.45
2004-12-10,173.43,174.88,171.29,171.65,4317200,171.65
2004-12-09,170.25,173.50,168.47,173.43,7654000,173.43
2004-12-08,170.35,173.68,168.73,169.98,7541800,169.98
2004-12-07,176.00,176.20,170.55,171.43,6870900,171.43
2004-12-06,179.13,180.70,176.02,176.29,6254000,176.29
2004-12-03,179.95,181.06,177.60,180.40,5869200,180.40
2004-12-02,179.90,181.51,178.55,179.40,6260900,179.40
2004-12-01,181.95,182.50,179.55,179.96,7864100,179.96
2004-11-30,180.71,183.00,180.25,181.98,7700000,181.98
2004-11-29,180.36,182.95,177.51,181.05,10666600,181.05
2004-11-26,175.80,180.03,175.32,179.39,6480100,179.39
2004-11-24,174.82,177.21,172.51,174.76,15281000,174.76
2004-11-23,167.97,170.83,166.50,167.52,12413300,167.52
2004-11-22,164.47,169.50,161.31,165.10,12368200,165.10
2004-11-19,169.10,169.98,166.52,169.40,8769300,169.40
2004-11-18,170.29,174.42,165.73,167.54,16629600,167.54
2004-11-17,169.02,177.50,169.00,172.50,18132900,172.50
2004-11-16,177.50,179.47,170.83,172.54,20917400,172.54
2004-11-15,180.45,188.32,178.75,184.87,11901500,184.87
2004-11-12,185.23,189.80,177.40,182.00,16746100,182.00
2004-11-11,169.13,183.75,167.57,183.02,14985500,183.02
2004-11-10,170.67,172.52,166.33,167.86,10644000,167.86
2004-11-09,174.10,175.20,165.27,168.70,11064200,168.70
2004-11-08,170.93,175.44,169.40,172.55,11191800,172.55
2004-11-05,181.98,182.30,168.55,169.35,19833100,169.35
2004-11-04,188.44,190.40,183.35,184.70,14409600,184.70
2004-11-03,198.18,201.60,190.75,191.67,13888700,191.67
2004-11-02,198.78,199.25,193.34,194.87,11346300,194.87
2004-11-01,193.55,197.67,191.27,196.03,12224900,196.03
2004-10-29,198.89,199.95,190.60,190.64,21162500,190.64
2004-10-28,186.68,194.39,185.60,193.30,14846800,193.30
2004-10-27,182.72,189.52,181.77,185.97,13356500,185.97
2004-10-26,186.34,192.64,180.00,181.80,22307100,181.80
2004-10-25,176.40,194.43,172.55,187.40,32764200,187.40
2004-10-22,170.54,180.17,164.08,172.43,36891900,172.43
2004-10-21,144.40,150.13,141.62,149.38,14589500,149.38
2004-10-20,148.03,148.99,139.60,140.49,11372700,140.49
2004-10-19,150.50,152.40,147.35,147.94,9064000,147.94
2004-10-18,143.20,149.20,141.21,149.16,7025200,149.16
2004-10-15,144.93,145.50,141.95,144.11,6604000,144.11
2004-10-14,141.01,142.38,138.56,142.00,5226300,142.00
2004-10-13,143.32,143.55,140.08,140.90,9893000,140.90
2004-10-12,134.44,137.61,133.40,137.40,5838600,137.40
2004-10-11,137.00,138.86,133.85,135.26,5241300,135.26
2004-10-08,138.72,139.68,137.02,137.73,5540300,137.73
2004-10-07,136.92,139.88,136.55,138.85,7064600,138.85
2004-10-06,137.55,138.45,136.00,137.08,6697400,137.08
2004-10-05,134.66,138.53,132.24,138.37,7494100,138.37
2004-10-04,135.25,136.87,134.03,135.06,6517900,135.06
2004-10-01,130.80,134.24,128.90,132.58,7570000,132.58
2004-09-30,129.90,132.30,129.00,129.60,6885900,129.60
2004-09-29,126.70,135.02,126.23,131.08,15273500,131.08
2004-09-28,121.30,127.40,120.21,126.86,8473000,126.86
2004-09-27,119.56,120.88,117.80,118.26,3536600,118.26
2004-09-24,120.94,124.10,119.76,119.83,4566300,119.83
2004-09-23,118.84,122.63,117.02,120.82,4272100,120.82
2004-09-22,117.40,119.67,116.81,118.38,3794400,118.38
2004-09-21,119.81,120.42,117.51,117.84,3618000,117.84
2004-09-20,116.95,121.60,116.77,119.36,5319700,119.36
2004-09-17,114.42,117.49,113.55,117.49,4741000,117.49
